id,url,description,title,overview,items,amenities
1744850266390311061,https://fr.airbnb.com/rooms/1744850266390311061,"Juste sur le boulevard. À deux minutes de la mosquée Hassan-II. À cinq minutes de l'océan Atlantique. Ce tout nouveau studio vous plonge dans la vie quotidienne d'un véritable quartier marocain : marchés, cafés, boulangeries et l'appel à la prière comme réveil matinal. Cuisine entièrement équipée, lave-linge, cabine de douche, télévision connectée et connexion Wi-Fi rapide. Le Casablanca authentique. Le confort véritable.",Studio cosy | Hassan-II et océan | Casablanca,"Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '2 lits', '1\xa0salle de bain']","[{'Salle de bain': ['Produits de nettoyage', 'Shampoing', 'Savon pour le corps', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Oreillers et couvertures supplémentaires', 'Stores ou rideaux occultants', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Télévision']}, {'Sécurité à la maison': ['Détecteur de fumée', 'Détecteur de monoxyde de carbone', 'Extincteur', 'Trousse de premiers secours']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière électrique Other', 'Plaques de cuisson', 'Table à manger']}, {""Caractéristiques de l'emplacement"": [""Au bord de l'eau"", 'Accès à la plage', 'Entrée privée', 'Laverie automatique à proximité']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur', 'Stationnement payant sur place']}, {'Services': ['Dépôt de bagages autorisé', 'Séjours longue durée autorisés', 'Service de ménage\xa0: disponible moyennant un supplément']}]"
id,url,title,description,overview,items,amenities
1395077518086072695,https://fr.airbnb.com/rooms/1395077518086072695,Studio raffiné avec vue sur mer,"Évasion Océane – Studio Spacieux & Élégant avec Vue Mer 🌊<br />Ce grand studio lumineux offre une vue panoramique sur l’océan et le jardin depuis son balcon privé<br />Conçu pour le confort et la détente : literie haut de gamme, fibre optique ultra-rapide, Smart TV Netflix et déco raffinée<br />Savourez votre café au soleil avec la brise marine, puis admirez le coucher du soleil sur la mer.<br />À deux pas des restaurants, cafés, et de la corniche de Dar Bouazza<br />Réservez dès maintenant pour une parenthèse paisible","Logement entier : appartement - Tamaris, Maroc","['4 voyageurs', '1 chambre', '2 lits', '1\xa0salle de bain']","[{'Vues panoramiques': [""Vue sur l'océan"", 'Vue sur la mer', 'Vue sur le jardin', 'Vue sur la plage']}, {'Salle de bain': ['Eau chaude']}, {'Chambre et linge': ['Lave-linge', 'Sèche-linge (Gratuit) dans le logement', 'Produits de base', 'Cintres', 'Linge de lit', 'Étendoir à linge', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['TV HD avec Netflix', 'Console de jeu']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts']}, {""Caractéristiques de l'emplacement"": [""Au bord de l'eau"", 'Accès à la plage']}, {'Extérieur': ['Privé\xa0: patio ou balcon']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue']}, {'Services': ['Animaux acceptés', 'Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure connectée', 'Ménage disponible pendant le séjour']}]"
id,url,title,description,overview,items,amenities
1658884635357288084,https://fr.airbnb.com/rooms/1658884635357288084,Le Raffiné,"Charmant studio au cœur de la ville<br /><br />Bienvenue dans ce studio moderne et lumineux, idéalement situé pour découvrir tout ce que la ville a à offrir. Parfait pour les voyageurs en solo, les couples ou les professionnels en déplacement, ce studio combine confort et fonctionnalité dans un espace bien agencé.","Logement entier : appartement - Casablanca, Maroc","['2 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Produits de nettoyage', 'Shampoing', 'Savon pour le corps', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Linge de lit', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Télévision', 'Appareils de fitness', 'Livres et de quoi lire']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage central']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière électrique Other', 'Four', 'Bouilloire électrique']}, {""Caractéristiques de l'emplacement"": ['Laverie automatique à proximité']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Salle de sport']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Boîte à clé sécurisée']}]"
id,url,description,title,overview,items,amenities
1607483813629119053,https://fr.airbnb.com/rooms/1607483813629119053,"Offrez-vous un séjour d’exception dans ce studio de standing chic et paisible, situé dans une résidence moderne et sécurisée près du parc de l’Hermitage.<br />Lumineux, sans vis-à-vis et au design cocooning, il dispose d'une place de parking privative. <br />À deux pas du tram, commerces et restaurants. Un emplacement pratique pour découvrir la ville, pour un séjours business ou simplement détente.",Studio cocooning avec parking privatif,"Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '2 lits', '1\xa0salle de bain']","[{'Salle de bain': ['Sèche-cheveux', 'Bidet', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Cintres', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Fer à repasser', 'Espace de rangement pour les vêtements']}, {'Divertissement': ['Télévision']}, {'Chauffage et climatisation': ['Climatisation', 'Chauffage central']}, {'Sécurité à la maison': ['Caméras de surveillance extérieures présentes sur place']}, {'Internet et bureau': ['Wifi']}, {'Cuisine et salle à manger': ['Cuisine', 'Congélateur', 'Four', 'Bouilloire électrique', 'Cafetière\xa0: Nespresso', 'Verres à vin', 'Blender', 'Table à manger']}, {'Extérieur': ['Privé\xa0: patio ou balcon']}, {'Parking et installations': ['Stationnement gratuit sur place', 'Stationnement gratuit dans la rue', 'Ascenseur']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure connectée']}]"
id,url,title,description,overview,items,amenities
1687110965467757701,https://fr.airbnb.com/rooms/1687110965467757701,Résidence de luxe • Appartement lumineux avec balcon,"Séjournez dans un appartement moderne et élégant conçu pour le confort et la détente ✨ Profitez d'un espace de vie lumineux, d'un balcon privé, d'une connexion Wi-Fi rapide, de la climatisation, d'une arrivée autonome intelligente, d'une cuisine entièrement équipée, d'une machine à café et d'un parking sécurisé. Situé dans une belle résidence moderne à proximité des cafés, des restaurants et des attractions de la ville : parfait pour les couples, les voyageurs d'affaires et les longs séjours.","Logement entier : appartement - Casablanca, Maroc","['3 voyageurs', '1 chambre', '1 lit', '1\xa0salle de bain']","[{'Salle de bain': ['Produits de nettoyage', 'Shampoing', 'Savon pour le corps', 'Eau chaude', 'Gel douche']}, {'Chambre et linge': ['Lave-linge', 'Produits de base', 'Linge de lit', 'Oreillers et couvertures supplémentaires', 'Fer à repasser', 'Étendoir à linge', 'Espace de rangement pour les vêtements\xa0: placard']}, {'Divertissement': ['Télévision']}, {'Chauffage et climatisation': ['Climatisation']}, {'Sécurité à la maison': ['Trousse de premiers secours']}, {'Internet et bureau': ['Wifi', 'Espace de travail dédié']}, {'Cuisine et salle à manger': ['Cuisine', 'Réfrigérateur', 'Four à micro-ondes', 'Tout le nécessaire pour cuisiner', 'Vaisselle et couverts', 'Congélateur', 'Cuisinière électrique', 'Four simple en acier inoxydable', 'Cafetière\xa0: Nespresso', 'Table à manger']}, {""Caractéristiques de l'emplacement"": ['Entrée privée']}, {'Extérieur': ['Privé\xa0: patio ou balcon']}, {'Parking et installations': ['Stationnement gratuit sur place']}, {'Services': ['Séjours longue durée autorisés', 'Arrivée autonome', 'Serrure numérique', 'Service de ménage disponible tous les jours\xa0: disponible moyennant un supplément']}]"
id,url,title,description,overview,items,amenities
